title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://my-todo-app.streamlit.app;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://muiz-portfolio.com;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/muiznaveedrana/App3;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/muiznaveedrana/App4;4.png
News Site;A website that gets data from a news API and emails this news to a specific email address.;https://github.com/muiznaveedrana/App5;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/muiznaveedrana/App6;6.png
Weather Chart Ploter;A script that chacks the future forecast and plots a graph based on its customisable readings;https://free-weather-forecasts.streamlit.app/;13.png
Book Anyalisis;A program that uses jupyter to learn more about a specific book.;https://github.com/muiznaveedrana/App8;book.jpg
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/muiznaveedrana/App9;11.png
Tour Scraper;A program that web scrapes upcoming tours of a page and emails you if there are any tours.;https://github.com/muiznaveedrana/App10;16.png
